Name of supplier,Date,Amount,Payment terms
Monopole Pte Ltd,15/05/2024,196.2,30 Days
WINE CLIQUE PTE LTD,16/05/2024,235.44,45 DAYS
Grand Vin Pte Ltd,16/04/2024,575.52,Net 60 days
